Marca,Coleção,Segmento,Ano/série/Módulo,Volume,Componente,Código,Nome,Categoria,Ativo no bigodão?,Avaliações,Coluna1,Link,Tipologia,Escala de qualidade,Nota,SAMR,Sugestões de melhorias ou observações sobre a exclusão,Reutilizado?,Onde?,Reaproveitado em algum material em 2025/2026?,
SAE,2024,AI,3,L4,MAT,EF22_3_MAT_L4_U7_01_OD1,Completando o mapa de acordo com a tabela,-,NÃO,"4,491",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_3_MAT_L4_U7_01_OD1,-,Reprovado,N/A,N/A,Não há vantagem sobre o impresso,,,,
SAE,2024,AI,2,L3,FIL,EF21_2_FIL_L3_U3_01_OD1,Ser amigo de quem é diferente da gente,-,SIM,"4,429",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF21_2_FIL_L3_U3_01_OD1,-,Reprovado,N/A,N/A,Pouca intencionalidade pedagógica,,,,
SAE,2024,AF,9,L1,ESP,EF22_9_ESP_L1_U4_01_OD1,El imperativo,-,NÃO,,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_9_ESP_L1_U4_01_OD1,-,,,,,,,,
SAE,2024,AI,3,L1,GEO,EF22_3_GEO_L1_U1_01_OD1,CARNAVAL,-,SIM,"4,203",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_3_GEO_L1_U1_01_OD1,Informativo,Reprovado,N/A,N/A,Não há vantagem sobre o impresso.,,,,
SAE,2024,AF,7,L1,ESP,EF22_7_ESP_L1_U3_01_OD1,Gerundio,-,NÃO,"3,5",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_7_ESP_L1_U3_01_OD1,-,,,,,,,,
SAE,2024,AI,2,L1,HIS,EF22_2_HIS_L1_U1_01_OD2,"Ontem, hoje e amanhã",-,NÃO,"4,636",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_2_HIS_L1_U1_01_OD2,Jogo da Memória,Reprovado,N/A,N/A,Pouca relevância pedagógica.,,,,
SAE,2024,AI,2,L2,EDF,EF22_2_EDF_L2_U1_02_OD2,Jogo “Popeye”,-,NÃO,"4,857",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_2_EDF_L2_U1_02_OD2,-,Básico,5,Ampliação,-,,,EDF 11 CAP 4,
SAE,2024,AI,1,L4,EDF,EF22_1_EDF_L4_U4_02_OD1,ESPORTES DE PRECISÃO,-,SIM,"3,833",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_1_EDF_L4_U4_02_OD1,-,Básico,5,Ampliação,-,,,,
SAE,2024,AI,5,L1,ING,EF22_5_ING_L1_U1_02_OD2,HOW MUCH IS THIS TOY?,-,NÃO,"3,842",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_5_ING_L1_U1_02_OD2,-,,,,,,,,
SAE,-,-,-,-,-,EI22_4A_L3_U4_01_OD3,JOÃO E O PÉ DE FEIJÃO,-,NÃO,,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EI22_4A_L3_U4_01_OD3,-,-,-,-,-,-,-,,
SAE,2024,AI,1,L2,HIS,EF22_1_HIS_L2_U2_02_OD1,O trabalho infantil,-,NÃO,"4,6",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_1_HIS_L2_U2_02_OD1,-,Básico,4,Ampliação,-,,,,
SAE,2024,AI,5,L4,ING,EF22_5_ING_L4_U4_01_OD1,City and town,-,SIM,5,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_5_ING_L4_U4_01_OD1,-,,,,,,,,
SAE,2024,AF,6,L2,ESP,EF22_6_ESP_L2_U4_01_OD1,Animales salvajes,-,NÃO,,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_6_ESP_L2_U4_01_OD1,-,Adequado,7,Substituição,-,,,,
SAE,2024,AI,4,L3,FIL,EF21_4_FIL_L3_U3_02_OD1,O que existe no mundo virtual?,-,SIM,"4,35",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF21_4_FIL_L3_U3_02_OD1,-,,,,,,,,
SAE,-,-,-,-,-,EF23_5_ING_L1_U1_01_OD1,Numbers up to 1000,-,NÃO,,https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF23_5_ING_L1_U1_01_OD1,-,-,-,-,-,-,-,,
SAE,2024,AF,8,L1,HIS,EF22_8_HIS_L1_U1_03_OD1,O ambiente das fábricas,-,SIM,"4,545",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF22_8_HIS_L1_U1_03_OD1,Informativo,,,,,,,,
SAE,2024,AF,8,L3,ING,EF21_8_ING_L3_U6_02_OD2,MUST & HAVE TO,-,NÃO,"4,5",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF21_8_ING_L3_U6_02_OD2,-,,,,,,,,
SAE,2024,AI,3,L1,CIE,EF23_3_CIE_L1_U1_01_OD1,Quiz sonoro,-,NÃO,"4,645",https://livrodigital.sae.digital/objeto-digital/,https://livrodigital.sae.digital/objeto-digital/EF23_3_CIE_L1_U1_01_OD1,-,Reprovado,N/A,N/A,Recurso não funciona.,,,,
,,,,,,,,,,,,,,,,,,,,,
SAE,2025,EI,G5,2S,BLOCO 3,SAE25_EI_G5_BL3_UT1_OA1,Cuidando da água do nosso planeta,,SIM,,,https://url.sae.digital/SAE25_EI_G5_BL3_UT1_OA1,,,,,,,,,
SAE,2025,EI,G5,2S,BLOCO 3,SAE25_EI_G5_BL3_UT1_OA2,Paisagens do nosso planeta,,SIM,,,https://url.sae.digital/SAE25_EI_G5_BL3_UT1_OA2,,,,,,,,,
SAE,2025,AI,1,V1,PORTUGUÊS,SAE25_AI11_POR_C01_OA1,Jogo da memória dos símbolos,,SIM,,,https://url.sae.digital/SAE25_AI11_POR_C01_OA1,,,,,,,,,
SAE,2025,AI,1,V1,PORTUGUÊS,SAE25_AI11_POR_C02_OA1,Brincando com as vogais,,SIM,,,https://url.sae.digital/SAE25_AI11_POR_C02_OA1,,,,,,,,,
SAE,2025,AI,1,V1,PORTUGUÊS,SAE25_AI11_POR_C03_OA1,Feira das sílabas,,SIM,,,https://url.sae.digital/SAE25_AI11_POR_C03_OA1,,,,,,,,,
SAE,2025,AI,1,V2,PORTUGUÊS,SAE25_AI12_POR_C04_OA1,F ou V?,,SIM,,,https://url.sae.digital/SAE25_AI12_POR_C04_OA1,,,,,,,,,
